timestamp,pos_x,pos_y,acc
104516,4477391.689316,589583.710255,14.100000
104616,4477391.847995,589583.870958,14.100000
104718,4477392.020077,589584.038457,14.100000
104820,4477392.166684,589584.210840,14.100000
104921,4477392.300920,589584.388461,14.100000
105022,4477392.399956,589584.584061,14.100000
105124,4477392.537590,589584.758079,14.800000
105225,4477392.663897,589584.941138,14.600000
105327,4477392.811676,589585.118681,14.300000
105428,4477392.917356,589585.312929,14.600000
105531,4477393.027065,589585.519089,14.600000
105632,4477393.154821,589585.702555,14.800000
105733,4477393.294055,589585.880455,15.000000
105833,4477393.423101,589586.060428,14.700000
105945,4477393.731191,589586.386611,14.500000
106146,4477394.084845,589586.679593,14.300000
106244,4477394.239125,589586.834496,14.100000
106345,4477394.406127,589586.994930,14.100000
106446,4477394.563193,589587.159979,14.100000
106546,4477394.741517,589587.310947,14.100000
106648,4477394.912478,589587.468281,14.100000
106750,4477395.079431,589587.633805,14.100000
106850,4477395.264123,589587.797420,14.100000
106957,4477395.450569,589587.959233,14.100000
107057,4477395.623384,589588.122991,14.100000
107158,4477395.804278,589588.293861,14.100000
107259,4477396.007366,589588.454712,14.100000
107360,4477396.192404,589588.628756,14.100000
107461,4477396.364155,589588.796343,14.100000
107562,4477396.561259,589588.967359,15.500000
107663,4477396.754257,589589.138594,14.100000
107764,4477396.951344,589589.308253,14.100000
107865,4477397.141604,589589.473244,14.100000
107965,4477397.322230,589589.649631,14.400000
108068,4477397.510772,589589.828807,14.300000
108170,4477397.697061,589589.995966,14.100000
108271,4477397.889941,589590.175854,14.300000
108373,4477398.075375,589590.355067,14.700000
108475,4477398.265334,589590.532106,14.800000
108576,4477398.443280,589590.716413,14.700000
108681,4477398.629403,589590.906900,14.400000
108782,4477398.803840,589591.094896,14.100000
108883,4477398.986671,589591.279230,14.100000
108985,4477399.167941,589591.472319,14.100000
109085,4477399.350799,589591.668188,14.100000
109186,4477399.534254,589591.858282,14.100000
109288,4477399.721344,589592.064618,14.100000
109396,4477399.906038,589592.265470,14.100000
109507,4477400.091853,589592.467326,14.100000
109608,4477400.293212,589592.669250,14.100000
109709,4477400.480150,589592.872110,14.100000
109810,4477400.689235,589593.070210,14.100000
109910,4477400.885825,589593.281861,14.100000
110012,4477401.083535,589593.494262,14.100000
110113,4477401.277941,589593.708908,14.100000
110218,4477401.475762,589593.930553,14.100000
110318,4477401.673231,589594.141430,14.100000
110419,4477401.874251,589594.370671,14.100000
110526,4477402.072275,589594.590787,14.100000
110627,4477402.259369,589594.806707,14.100000
110731,4477402.451808,589595.023921,14.100000
110831,4477402.645364,589595.232470,14.100000
110935,4477402.848157,589595.452190,14.100000
111035,4477403.045674,589595.667053,14.100000
111135,4477403.252776,589595.885024,14.100000
111236,4477403.453653,589596.102307,14.100000
111340,4477403.659397,589596.327419,14.100000
111440,4477403.869300,589596.547563,14.100000
111549,4477404.263756,589597.003166,14.100000
111649,4477404.467026,589597.225594,14.100000
111750,4477404.659005,589597.441541,14.100000
111850,4477404.872436,589597.668851,14.100000
111951,4477405.079025,589597.890307,14.100000
112053,4477405.273758,589598.123015,14.100000
112155,4477405.473090,589598.350410,14.100000
112256,4477405.678292,589598.576546,14.100000
112358,4477405.882359,589598.800661,14.100000
112458,4477406.079074,589599.031989,14.100000
112560,4477406.290726,589599.277642,14.100000
112660,4477406.490721,589599.504774,14.100000
112762,4477406.693265,589599.731452,14.100000
112863,4477406.900915,589599.958153,14.100000
112965,4477407.106495,589600.197348,14.100000
113067,4477407.327658,589600.430673,14.100000
113169,4477407.538657,589600.649615,14.100000
113269,4477407.748718,589600.882904,14.100000
113372,4477407.967914,589601.109551,14.100000
113473,4477408.183351,589601.318941,14.100000
113576,4477408.398443,589601.555222,14.100000
113678,4477408.611189,589601.780930,14.100000
113778,4477408.825420,589602.000936,14.100000
113878,4477409.037934,589602.225798,14.100000
113981,4477409.263780,589602.433027,14.100000
114080,4477409.486463,589602.654204,14.100000
114182,4477409.695699,589602.874186,14.100000
114283,4477409.918202,589603.098843,14.100000
114385,4477410.147015,589603.322068,14.100000
114485,4477410.369538,589603.529845,14.100000
114587,4477410.595890,589603.732912,14.100000
114689,4477410.823907,589603.935959,14.100000
114791,4477411.052631,589604.133145,14.100000
114894,4477411.285007,589604.329354,14.100000
114995,4477411.522180,589604.518296,14.100000
115095,4477411.748102,589604.703980,14.100000
115198,4477411.968784,589604.887775,14.700000
115298,4477412.207948,589605.066769,16.600000
115399,4477412.429234,589605.245383,16.300000
115502,4477412.664317,589605.417301,15.900000
115601,4477412.872423,589605.598533,15.500000
115703,4477413.063880,589605.770803,14.900000
115814,4477413.276143,589605.956226,14.600000
115915,4477413.459668,589606.142841,14.700000
116016,4477413.654553,589606.351119,14.100000
116117,4477413.837360,589606.561237,14.100000
116219,4477413.991342,589606.765424,14.100000
116320,4477414.163198,589606.978897,14.100000
116420,4477414.331932,589607.191305,14.100000
116522,4477414.508547,589607.394288,14.200000
116622,4477414.677555,589607.610933,14.200000
116728,4477414.855237,589607.819587,14.200000
116832,4477415.018512,589608.030363,14.100000
116934,4477415.188208,589608.248866,14.100000
117035,4477415.352711,589608.450891,14.100000
117136,4477415.531996,589608.654351,14.100000
117242,4477415.701375,589608.855640,14.100000
117348,4477416.029689,589609.276154,14.100000
117448,4477416.182374,589609.492485,14.100000
117550,4477416.343675,589609.714567,14.100000
117650,4477416.520649,589609.928996,14.100000
117751,4477416.683113,589610.146228,14.100000
117852,4477416.838954,589610.366594,14.100000
117954,4477416.999176,589610.581987,14.100000
118055,4477417.151412,589610.797985,14.100000
118155,4477417.308278,589611.020458,14.100000
118256,4477417.470161,589611.235492,14.100000
118359,4477417.606094,589611.462118,14.100000
